ID,organic,cation,anion
1851,Ethylammonium,Ge,F
1852,Ethylammonium,Ge,F
1853,Ethylammonium,Ge,F
1854,Ethylammonium,Ge,F
1855,Ethylammonium,Ge,F
1856,Ethylammonium,Ge,F
1857,Ethylammonium,Ge,F
1858,Ethylammonium,Ge,F
1859,Ethylammonium,Ge,F
1860,Propylammonium,Ge,F
1861,Propylammonium,Ge,F
1862,Propylammonium,Ge,F
1863,Propylammonium,Ge,F
1864,Propylammonium,Ge,F
1865,Propylammonium,Ge,F
1866,Propylammonium,Ge,F
1867,Propylammonium,Ge,F
1868,Butylammonium,Ge,F
1869,Butylammonium,Ge,F
1870,Butylammonium,Ge,F
1871,Butylammonium,Ge,F
1872,Isopropylammonium,Ge,F
1873,Isopropylammonium,Ge,F
1874,Isopropylammonium,Ge,F
1875,Isopropylammonium,Ge,F
1876,Isopropylammonium,Ge,F
1877,Isopropylammonium,Ge,F
1878,Isopropylammonium,Ge,F
1879,Isopropylammonium,Ge,F
1880,Isopropylammonium,Ge,F
1881,Dimethylammonium,Ge,F
1882,Dimethylammonium,Ge,F
1883,Dimethylammonium,Ge,F
1884,Dimethylammonium,Ge,F
1885,Dimethylammonium,Ge,F
1886,Acetamidinium,Ge,F
1887,Acetamidinium,Ge,F
1888,Acetamidinium,Ge,F
1889,Acetamidinium,Ge,F
1890,Acetamidinium,Ge,F
1891,Acetamidinium,Ge,F
1892,Methylammonium,Ge,F
1893,Methylammonium,Ge,F
1894,Methylammonium,Ge,F
1895,Methylammonium,Ge,F
1896,Methylammonium,Ge,F
1897,Methylammonium,Ge,F
1898,Guanidinium,Ge,F
1899,Guanidinium,Ge,F
1900,Guanidinium,Ge,F
1901,Hydroxylammonium,Ge,F
1902,Hydroxylammonium,Ge,F
1903,Hydroxylammonium,Ge,F
1904,Hydroxylammonium,Ge,F
1905,Hydroxylammonium,Ge,F
1906,Hydroxylammonium,Ge,F
1907,Hydroxylammonium,Ge,F
1908,Formamidinium,Ge,F
1909,Formamidinium,Ge,F
1910,Tetramethylammonium,Ge,F
1911,Tetramethylammonium,Ge,F
1912,Hydrazinium,Ge,F
1913,Hydrazinium,Ge,F
1914,Hydrazinium,Ge,F
1915,Hydrazinium,Ge,F
1916,Hydrazinium,Ge,F
1917,Hydrazinium,Ge,F
1918,Hydrazinium,Ge,F
1919,Hydrazinium,Ge,F
1920,Ammonium,Ge,F
1921,Ammonium,Ge,F
1922,Trimethylammonium,Ge,F
1923,Trimethylammonium,Ge,F
1924,Trimethylammonium,Ge,F
1925,Trimethylammonium,Ge,F
1926,Trimethylammonium,Ge,F
1927,Trimethylammonium,Ge,F
1928,Trimethylammonium,Ge,F
1929,Azetidinium,Ge,F
1930,Azetidinium,Ge,F
1931,Azetidinium,Ge,F
1932,Azetidinium,Ge,F
1933,Azetidinium,Ge,F
1934,Azetidinium,Ge,F
1935,Azetidinium,Ge,F
1936,Azetidinium,Ge,F
1937,Azetidinium,Ge,F
1938,Azetidinium,Ge,F
1939,Azetidinium,Ge,F
1940,Azetidinium,Ge,F
1941,Azetidinium,Ge,F
1942,Imidazolium,Ge,F
1943,Imidazolium,Ge,F
1944,Imidazolium,Ge,F
1945,Imidazolium,Ge,F
1946,Imidazolium,Ge,F
1947,Imidazolium,Ge,F
1948,Ethylammonium,Ge,Cl
1949,Ethylammonium,Ge,Cl
1950,Ethylammonium,Ge,Cl
1951,Ethylammonium,Ge,Cl
1952,Ethylammonium,Ge,Cl
1953,Ethylammonium,Ge,Cl
1954,Ethylammonium,Ge,Cl
1955,Ethylammonium,Ge,Cl
1956,Ethylammonium,Ge,Cl
1957,Ethylammonium,Ge,Cl
1958,Propylammonium,Ge,Cl
1959,Propylammonium,Ge,Cl
1960,Propylammonium,Ge,Cl
1961,Propylammonium,Ge,Cl
1962,Propylammonium,Ge,Cl
1963,Propylammonium,Ge,Cl
1964,Propylammonium,Ge,Cl
1965,Propylammonium,Ge,Cl
1966,Propylammonium,Ge,Cl
1967,Propylammonium,Ge,Cl
1968,Propylammonium,Ge,Cl
1969,Butylammonium,Ge,Cl
1970,Butylammonium,Ge,Cl
1971,Butylammonium,Ge,Cl
1972,Isopropylammonium,Ge,Cl
1973,Isopropylammonium,Ge,Cl
1974,Isopropylammonium,Ge,Cl
1975,Propylammonium,Ge,Cl
1976,Isopropylammonium,Ge,Cl
1977,Isopropylammonium,Ge,Cl
1978,Isopropylammonium,Ge,Cl
1979,Isopropylammonium,Ge,Cl
1980,Dimethylammonium,Ge,Cl
1981,Dimethylammonium,Ge,Cl
1982,Dimethylammonium,Ge,Cl
1983,Dimethylammonium,Ge,Cl
1984,Dimethylammonium,Ge,Cl
1985,Dimethylammonium,Ge,Cl
1986,Dimethylammonium,Ge,Cl
1987,Acetamidinium,Ge,Cl
1988,Acetamidinium,Ge,Cl
1989,Acetamidinium,Ge,Cl
1990,Acetamidinium,Ge,Cl
1991,Acetamidinium,Ge,Cl
1992,Methylammonium,Ge,Cl
1993,Methylammonium,Ge,Cl
1994,Methylammonium,Ge,Cl
1995,Methylammonium,Ge,Cl
1996,Methylammonium,Ge,Cl
1997,Guanidinium,Ge,Cl
1998,Guanidinium,Ge,Cl
1999,Guanidinium,Ge,Cl
2000,Hydroxylammonium,Ge,Cl
2001,Hydroxylammonium,Ge,Cl
2002,Hydroxylammonium,Ge,Cl
2003,Hydroxylammonium,Ge,Cl
2004,Hydroxylammonium,Ge,Cl
2005,Hydroxylammonium,Ge,Cl
2006,Hydroxylammonium,Ge,Cl
2007,Formamidinium,Ge,Cl
2008,Formamidinium,Ge,Cl
2009,Formamidinium,Ge,Cl
2010,Tetramethylammonium,Ge,Cl
2011,Tetramethylammonium,Ge,Cl
2012,Tetramethylammonium,Ge,Cl
2013,Hydrazinium,Ge,Cl
2014,Hydrazinium,Ge,Cl
2015,Hydrazinium,Ge,Cl
2016,Hydrazinium,Ge,Cl
2017,Hydrazinium,Ge,Cl
2018,Hydrazinium,Ge,Cl
2019,Hydrazinium,Ge,Cl
2020,Hydrazinium,Ge,Cl
2021,Hydrazinium,Ge,Cl
2022,Hydrazinium,Ge,Cl
2023,Ammonium,Ge,Cl
2024,Ammonium,Ge,Cl
2025,Trimethylammonium,Ge,Cl
2026,Trimethylammonium,Ge,Cl
2027,Trimethylammonium,Ge,Cl
2028,Trimethylammonium,Ge,Cl
2029,Trimethylammonium,Ge,Cl
2030,Trimethylammonium,Ge,Cl
2031,Trimethylammonium,Ge,Cl
2032,Trimethylammonium,Ge,Cl
2033,Azetidinium,Ge,Cl
2034,Azetidinium,Ge,Cl
2035,Azetidinium,Ge,Cl
2036,Azetidinium,Ge,Cl
2037,Azetidinium,Ge,Cl
2038,Azetidinium,Ge,Cl
2039,Azetidinium,Ge,Cl
2040,Azetidinium,Ge,Cl
2041,Azetidinium,Ge,Cl
2042,Azetidinium,Ge,Cl
2043,Azetidinium,Ge,Cl
2044,Azetidinium,Ge,Cl
2045,Azetidinium,Ge,Cl
2046,Azetidinium,Ge,Cl
2047,Imidazolium,Ge,Cl
2048,Imidazolium,Ge,Cl
2049,Imidazolium,Ge,Cl
2050,Imidazolium,Ge,Cl
2051,Imidazolium,Ge,Cl
2052,Imidazolium,Ge,Cl
2053,Ethylammonium,Ge,Br
2054,Ethylammonium,Ge,Br
2055,Ethylammonium,Ge,Br
2056,Ethylammonium,Ge,Br
2057,Ethylammonium,Ge,Br
2058,Ethylammonium,Ge,Br
2059,Ethylammonium,Ge,Br
2060,Ethylammonium,Ge,Br
2061,Ethylammonium,Ge,Br
2062,Ethylammonium,Ge,Br
2063,Ethylammonium,Ge,Br
2064,Propylammonium,Ge,Br
2065,Propylammonium,Ge,Br
2066,Propylammonium,Ge,Br
2067,Propylammonium,Ge,Br
2068,Propylammonium,Ge,Br
2069,Propylammonium,Ge,Br
2070,Propylammonium,Ge,Br
2071,Propylammonium,Ge,Br
2072,Propylammonium,Ge,Br
2073,Propylammonium,Ge,Br
2074,Propylammonium,Ge,Br
2075,Propylammonium,Ge,Br
2076,Propylammonium,Ge,Br
2077,Butylammonium,Ge,Br
2078,Butylammonium,Ge,Br
2079,Butylammonium,Ge,Br
2080,Isopropylammonium,Ge,Br
2081,Isopropylammonium,Ge,Br
2082,Isopropylammonium,Ge,Br
2083,Isopropylammonium,Ge,Br
2084,Isopropylammonium,Ge,Br
2085,Isopropylammonium,Ge,Br
2086,Isopropylammonium,Ge,Br
2087,Isopropylammonium,Ge,Br
2088,Isopropylammonium,Ge,Br
2089,Dimethylammonium,Ge,Br
2090,Dimethylammonium,Ge,Br
2091,Dimethylammonium,Ge,Br
2092,Dimethylammonium,Ge,Br
2093,Dimethylammonium,Ge,Br
2094,Dimethylammonium,Ge,Br
2095,Dimethylammonium,Ge,Br
2096,Dimethylammonium,Ge,Br
2097,Dimethylammonium,Ge,Br
2098,Acetamidinium,Ge,Br
2099,Acetamidinium,Ge,Br
2100,Acetamidinium,Ge,Br
2101,Acetamidinium,Ge,Br
2102,Acetamidinium,Ge,Br
2103,Acetamidinium,Ge,Br
2104,Methylammonium,Ge,Br
2105,Methylammonium,Ge,Br
2106,Methylammonium,Ge,Br
2107,Methylammonium,Ge,Br
2108,Methylammonium,Ge,Br
2109,Methylammonium,Ge,Br
2110,Guanidinium,Ge,Br
2111,Guanidinium,Ge,Br
2112,Guanidinium,Ge,Br
2113,Hydroxylammonium,Ge,Br
2114,Hydroxylammonium,Ge,Br
2115,Hydroxylammonium,Ge,Br
2116,Hydroxylammonium,Ge,Br
2117,Hydroxylammonium,Ge,Br
2118,Hydroxylammonium,Ge,Br
2119,Hydroxylammonium,Ge,Br
2120,Formamidinium,Ge,Br
2121,Formamidinium,Ge,Br
2122,Formamidinium,Ge,Br
2123,Tetramethylammonium,Ge,Br
2124,Tetramethylammonium,Ge,Br
2125,Tetramethylammonium,Ge,Br
2126,Hydrazinium,Ge,Br
2127,Hydrazinium,Ge,Br
2128,Hydrazinium,Ge,Br
2129,Hydrazinium,Ge,Br
2130,Hydrazinium,Ge,Br
2131,Hydrazinium,Ge,Br
2132,Hydrazinium,Ge,Br
2133,Hydrazinium,Ge,Br
2134,Hydrazinium,Ge,Br
2135,Hydrazinium,Ge,Br
2136,Hydrazinium,Ge,Br
2137,Ammonium,Ge,Br
2138,Ammonium,Ge,Br
2139,Ammonium,Ge,Br
2140,Ammonium,Ge,Br
2141,Trimethylammonium,Ge,Br
2142,Trimethylammonium,Ge,Br
2143,Trimethylammonium,Ge,Br
2144,Trimethylammonium,Ge,Br
2145,Trimethylammonium,Ge,Br
2146,Trimethylammonium,Ge,Br
2147,Trimethylammonium,Ge,Br
2148,Trimethylammonium,Ge,Br
2149,Trimethylammonium,Ge,Br
2150,Azetidinium,Ge,Br
2151,Azetidinium,Ge,Br
2152,Azetidinium,Ge,Br
2153,Azetidinium,Ge,Br
2154,Azetidinium,Ge,Br
2155,Azetidinium,Ge,Br
2156,Azetidinium,Ge,Br
2157,Azetidinium,Ge,Br
2158,Azetidinium,Ge,Br
2159,Azetidinium,Ge,Br
2160,Azetidinium,Ge,Br
2161,Azetidinium,Ge,Br
2162,Azetidinium,Ge,Br
2163,Azetidinium,Ge,Br
2164,Azetidinium,Ge,Br
2165,Azetidinium,Ge,Br
2166,Imidazolium,Ge,Br
2167,Imidazolium,Ge,Br
2168,Imidazolium,Ge,Br
2169,Imidazolium,Ge,Br
2170,Imidazolium,Ge,Br
2171,Imidazolium,Ge,Br
2172,Imidazolium,Ge,Br
2173,Imidazolium,Ge,Br
2174,Ethylammonium,Ge,I
2175,Ethylammonium,Ge,I
2176,Ethylammonium,Ge,I
2177,Ethylammonium,Ge,I
2178,Ethylammonium,Ge,I
2179,Ethylammonium,Ge,I
2180,Ethylammonium,Ge,I
2181,Ethylammonium,Ge,I
2182,Ethylammonium,Ge,I
2183,Ethylammonium,Ge,I
2184,Ethylammonium,Ge,I
2185,Ethylammonium,Ge,I
2186,Propylammonium,Ge,I
2187,Propylammonium,Ge,I
2188,Propylammonium,Ge,I
2189,Propylammonium,Ge,I
2190,Propylammonium,Ge,I
2191,Propylammonium,Ge,I
2192,Propylammonium,Ge,I
2193,Propylammonium,Ge,I
2194,Propylammonium,Ge,I
2195,Propylammonium,Ge,I
2196,Propylammonium,Ge,I
2197,Propylammonium,Ge,I
2198,Butylammonium,Ge,I
2199,Butylammonium,Ge,I
2200,Butylammonium,Ge,I
2201,Butylammonium,Ge,I
2202,Isopropylammonium,Ge,I
2203,Isopropylammonium,Ge,I
2204,Isopropylammonium,Ge,I
2205,Isopropylammonium,Ge,I
2206,Isopropylammonium,Ge,I
2207,Isopropylammonium,Ge,I
2208,Isopropylammonium,Ge,I
2209,Isopropylammonium,Ge,I
2210,Isopropylammonium,Ge,I
2211,Isopropylammonium,Ge,I
2212,Dimethylammonium,Ge,I
2213,Dimethylammonium,Ge,I
2214,Dimethylammonium,Ge,I
2215,Dimethylammonium,Ge,I
2216,Dimethylammonium,Ge,I
2217,Dimethylammonium,Ge,I
2218,Dimethylammonium,Ge,I
2219,Dimethylammonium,Ge,I
2220,Acetamidinium,Ge,I
2221,Acetamidinium,Ge,I
2222,Acetamidinium,Ge,I
2223,Acetamidinium,Ge,I
2224,Acetamidinium,Ge,I
2225,Acetamidinium,Ge,I
2226,Methylammonium,Ge,I
2227,Methylammonium,Ge,I
2228,Methylammonium,Ge,I
2229,Methylammonium,Ge,I
2230,Methylammonium,Ge,I
2231,Methylammonium,Ge,I
2232,Guanidinium,Ge,I
2233,Guanidinium,Ge,I
2234,Guanidinium,Ge,I
2235,Hydroxylammonium,Ge,I
2236,Hydroxylammonium,Ge,I
2237,Hydroxylammonium,Ge,I
2238,Hydroxylammonium,Ge,I
2239,Hydroxylammonium,Ge,I
2240,Hydroxylammonium,Ge,I
2241,Hydroxylammonium,Ge,I
2242,Formamidinium,Ge,I
2243,Formamidinium,Ge,I
2244,Formamidinium,Ge,I
2245,Tetramethylammonium,Ge,I
2246,Tetramethylammonium,Ge,I
2247,Hydrazinium,Ge,I
2248,Hydrazinium,Ge,I
2249,Hydrazinium,Ge,I
2250,Hydrazinium,Ge,I
2251,Hydrazinium,Ge,I
2252,Hydrazinium,Ge,I
2253,Hydrazinium,Ge,I
2254,Hydrazinium,Ge,I
2255,Hydrazinium,Ge,I
2256,Hydrazinium,Ge,I
2257,Hydrazinium,Ge,I
2258,Ammonium,Ge,I
2259,Ammonium,Ge,I
2260,Ammonium,Ge,I
2261,Trimethylammonium,Ge,I
2262,Trimethylammonium,Ge,I
2263,Trimethylammonium,Ge,I
2264,Trimethylammonium,Ge,I
2265,Trimethylammonium,Ge,I
2266,Trimethylammonium,Ge,I
2267,Trimethylammonium,Ge,I
2268,Trimethylammonium,Ge,I
2269,Trimethylammonium,Ge,I
2270,Azetidinium,Ge,I
2271,Azetidinium,Ge,I
2272,Azetidinium,Ge,I
2273,Azetidinium,Ge,I
2274,Azetidinium,Ge,I
2275,Azetidinium,Ge,I
2276,Azetidinium,Ge,I
2277,Azetidinium,Ge,I
2278,Azetidinium,Ge,I
2279,Azetidinium,Ge,I
2280,Azetidinium,Ge,I
2281,Azetidinium,Ge,I
2282,Azetidinium,Ge,I
2283,Azetidinium,Ge,I
2284,Azetidinium,Ge,I
2285,Imidazolium,Ge,I
2286,Imidazolium,Ge,I
2287,Imidazolium,Ge,I
2288,Imidazolium,Ge,I
2289,Imidazolium,Ge,I
2290,Imidazolium,Ge,I
2291,Imidazolium,Ge,I
2292,Imidazolium,Ge,I
2293,Ethylammonium,Sn,F
2294,Ethylammonium,Sn,F
2295,Ethylammonium,Sn,F
2296,Ethylammonium,Sn,F
2297,Ethylammonium,Sn,F
2298,Ethylammonium,Sn,F
2299,Ethylammonium,Sn,F
2300,Ethylammonium,Sn,F
2301,Ethylammonium,Sn,F
2302,Ethylammonium,Sn,F
2303,Ethylammonium,Sn,F
2304,Propylammonium,Sn,F
2305,Propylammonium,Sn,F
2306,Propylammonium,Sn,F
2307,Propylammonium,Sn,F
2308,Propylammonium,Sn,F
2309,Propylammonium,Sn,F
2310,Propylammonium,Sn,F
2311,Propylammonium,Sn,F
2312,Propylammonium,Sn,F
2313,Propylammonium,Sn,F
2314,Butylammonium,Sn,F
2315,Butylammonium,Sn,F
2316,Butylammonium,Sn,F
2317,Butylammonium,Sn,F
2318,Isopropylammonium,Sn,F
2319,Isopropylammonium,Sn,F
2320,Isopropylammonium,Sn,F
2321,Isopropylammonium,Sn,F
2322,Isopropylammonium,Sn,F
2323,Isopropylammonium,Sn,F
2324,Isopropylammonium,Sn,F
2325,Isopropylammonium,Sn,F
2326,Isopropylammonium,Sn,F
2327,Dimethylammonium,Sn,F
2328,Dimethylammonium,Sn,F
2329,Dimethylammonium,Sn,F
2330,Dimethylammonium,Sn,F
2331,Dimethylammonium,Sn,F
2332,Dimethylammonium,Sn,F
2333,Dimethylammonium,Sn,F
2334,Dimethylammonium,Sn,F
2335,Dimethylammonium,Sn,F
2336,Acetamidinium,Sn,F
2337,Acetamidinium,Sn,F
